content	label_manual	scores	compound	negatif	netral	positif	label_vader
My video in the participant list is always showing off. This is also happening to everyone even for my child's online classes. Please Zoom I request you to solve this problem. This problem started after the new zoom update. Please I request to solve this problem.	N	{'neg': 0.166, 'neu': 0.689, 'pos': 0.145, 'compound': -0.4897}	-0.4897	0.166	0.689	0.145	N
Update again for bringing some effects in Android too pls fix this. Pls. Understand my problem and pls fix my problem. I need zoom effects like cat,dog, and some filters	N	{'neg': 0.151, 'neu': 0.67, 'pos': 0.179, 'compound': -0.25}	-0.25	0.151	0.67	0.179	N
This app is good but not that much. It is running properly before the latest update but when I updated it to the latest version It stops representing the camera on. I think this is a bug in this app. I request the manufacturers to fix this bug in the next update. And the voice quality is also not that much good after network is good or bad. It doesn't matter, the voice starts buffering. So kindly fix all my issues related to this app. This app is nice for meetings if we forget these issues.	P	{'neg': 0.115, 'neu': 0.754, 'pos': 0.132, 'compound': 0.6065}	0.6065	0.115	0.754	0.132	P
"Nice app, but some times there are bugs or something, cause sometimes I get randomly disconnected, though the host did not. And I would also like to add that, sometimes it is not possible to join an important class because, it shows that "" The meeting is in progress"" or "" The host did not start the meeting"" even though she did. And I am sometimes not able to join a meeting because of this weird reason were i gave the right PMI and Password but it would not let me join. Pls fix these problems!"	N	{'neg': 0.118, 'neu': 0.77, 'pos': 0.112, 'compound': -0.1656}	-0.1656	0.118	0.77	0.112	N
"I can not find menu ""virtual background""? It can not be changed the background."	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
I am giving three stars to this because i have allowed zoom settings to call over internet but i have to connect my audio. its annoying	N	{'neg': 0.121, 'neu': 0.821, 'pos': 0.058, 'compound': -0.431}	-0.431	0.121	0.821	0.058	N
The virtual background for Android is not working even after fulfilling all the requirements.	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
However I am facing frequent disconnection problems for the past few days. I have checked there are other activites that continue without interruption, but zoom takes a long time to connect, and then disconnects every 5 minutes. I suspect the culprit is the latest update.	N	{'neg': 0.096, 'neu': 0.871, 'pos': 0.032, 'compound': -0.4758}	-0.4758	0.096	0.871	0.032	N
The app is good and easy but I don't seem to hear either with headset or hand free from my phone.	P	{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.9127}	0.9127	0.0	0.573	0.427	P
Cannot even use this app in background. I cannot see any video I have to rejoin the meeting.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
The Experience of the app isn't as good as the desktop version. One thing which is terrible, is the lack in video setting options. If you wear black, zoom automatically brightens the face to compensate for the black, making the face over exposed and bright yellow, which doesn't happen on other platforms. Can't even think of adding a ring light. I haven't noticed this on the desktop version.	N	{'neg': 0.119, 'neu': 0.81, 'pos': 0.071, 'compound': -0.4031}	-0.4031	0.119	0.81	0.071	N
I don't know about the screen sharing in the zoom app so if you keep any guide in the zoom we can understand the features in the zoom please find answer for the problem thank you	P	{'neg': 0.064, 'neu': 0.757, 'pos': 0.18, 'compound': 0.5994}	0.5994	0.064	0.757	0.18	P
Business or school: It is just right for video conferences, meetings, school- related meetings, & etc. Socially: It is a nice way to connect but also interact with other people. my only dislike is, it uses a lot of data, once data runs out, it runs very slow affecting the quality of the meetings. But that may not be an app issue, but instead internet connection issues.	N	{'neg': 0.048, 'neu': 0.925, 'pos': 0.027, 'compound': -0.3612}	-0.3612	0.048	0.925	0.027	N
Not too much Good..Too Much Connection Problems...And Not able to listen properly what the host Is Saying.Very Bad... But pls remove Disconnection in it	N	{'neg': 0.088, 'neu': 0.856, 'pos': 0.056, 'compound': -0.2023}	-0.2023	0.088	0.856	0.056	N
Sometimes meeting cannot be accessed	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Not bad i guess.It is the only app i use for onlline class but one problem the voices always cut and sometimes we disconnected	N	{'neg': 0.213, 'neu': 0.721, 'pos': 0.066, 'compound': -0.6457}	-0.6457	0.213	0.721	0.066	N
Could only view people 4 to view on smartphones and tablets. Would like to be able to call someone into a meeting without sending a linked invitation.	P	{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}	0.3612	0.0	0.912	0.088	P
Thing is that when I am joining a meeting it is connecting but after that it shows Back to meeting and for a long time I can't see anything. The screen is full blank. and when the meeting is going on if I go to Participants there it is showing my video off. My teacher thought that I am keeping my video off and she throw me out of class. Very sad for this thing.Ã°Å¸Ëœâ€	N	{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.6798}	-0.6798	0.058	0.942	0.0	N
I Have An Issue Whenever I Join A Meeting, It Shows Call Over Internet, Instead Of The Microphone And I Cant Hear Anything	N	{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.296}	0.296	0.0	0.909	0.091	P
This app is Ok But. . . there's problems. 1. It takes ages to get on to meetings and I wish it would take less time as I want to be able to get on to my meetings and 2.It is sooo-hard to login! But it doesn't have much adds and that's a good thing Ã°Å¸Ëœâ€° I also think it should be easier to get on to meetings and sometimes I wait like 5 mins and then it tells me it's not working Ã°Å¸Ëœâ€™Ã°Å¸â„¢â€ž. Like OMG people just wanna have a call!	P	{'neg': 0.032, 'neu': 0.776, 'pos': 0.192, 'compound': 0.9492}	0.9492	0.032	0.776	0.192	P
Don't make passcode system, only make link or meeting id system so that only host can allow the participants and they won't face any problem in joining the meet.	N	{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.4867}	0.4867	0.0	0.867	0.133	P
It took me a while to figure out all the settings to this app. Though, I consider it a must need app. Many businesses etc. have suggested it & use it also. To bypass transportation barriers or inability to be a part of an important meeting in court, school, counseling/ teaching/learning opportunities for any type of organization, school, or team. Very convenient for this COVID Pandemic around the world at this time. Seems to have been invented at the right time and for the right reasons.	P	{'neg': 0.03, 'neu': 0.921, 'pos': 0.049, 'compound': 0.1779}	0.1779	0.03	0.921	0.049	P
First it as a minor bugs like when I went to recent page it bugs as my pic stuckes and I cheat my Mam but I couldn't do now	N	{'neg': 0.065, 'neu': 0.878, 'pos': 0.057, 'compound': -0.0644}	-0.0644	0.065	0.878	0.057	N
I love this but some times i cant connect to the class i reported rhe problems too mainy times wirh another phone number but my problem never solve Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢ but nice app	N	{'neg': 0.21, 'neu': 0.608, 'pos': 0.181, 'compound': -0.3045}	-0.3045	0.21	0.608	0.181	N
Zoom is a pretty cool app...however I give it a 3 because I expected to see the other person during my meeting, not just myself...thumbs down at that particular aspect. However, with Covid going on, it does make some meetings much easier to attend.	P	{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.8074}	0.8074	0.0	0.832	0.168	P
The Zoom app always appear on my cellphone. I want the icon to appear and be downloaded on my Dell desktop-JL36U07.	P	{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0772}	0.0772	0.0	0.939	0.061	P
Very old UI & UX, please improve it make something modern looking and add white colour to the primary meeting ui.	N	{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.6369}	0.6369	0.0	0.785	0.215	P
It not connecting properly. always reconnecting.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
I am really unhappy with the experience with the new zoom update. Since i have updated it the voice is always breaking and the video is not clear, because of this problem I can't attend my online classes properly. Before this update was here i was happy it but now its horrible.	N	{'neg': 0.175, 'neu': 0.786, 'pos': 0.039, 'compound': -0.7964}	-0.7964	0.175	0.786	0.039	N
It's good but sometimes it does not works and shows that the host may be blocked you or internet problem	N	{'neg': 0.247, 'neu': 0.676, 'pos': 0.078, 'compound': -0.6428}	-0.6428	0.247	0.676	0.078	N
I often have trouble with either the sound or the video synchronizing.	N	{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.197	0.803	0.0	N
So I think it's fine overall but there is one major issue with the mobile app that is baffling me it won't get addressed. You can't go back to chat outside of a meeting when you're in a zoom meeting in the app. That's just obsurd. Think about it. If you use zoom the way they market it and adopt chat then you basically can't use chat when you are in a zoom meeting so what's the point. Still hasn't been addressed and we are nine months I to Covid. Terrible.	N	{'neg': 0.043, 'neu': 0.921, 'pos': 0.036, 'compound': -0.4019}	-0.4019	0.043	0.921	0.036	N
Good app for students... Video sharing is so so.. But audio is good in this. Overall good.	P	{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.8898}	0.8898	0.0	0.53	0.47	P
I would give it three stars only because since the last update I am facing a problem that, 'If my camera is on than also in the participants it is showing that my camera or video is of. Due to this I have been removed form the meeting a high number of times and I want a option to pin two videos at the same time.	N	{'neg': 0.04, 'neu': 0.922, 'pos': 0.038, 'compound': -0.2732}	-0.2732	0.04	0.922	0.038	N
this app is great and all but... the limited number of android phones that can use virtual backgrounds hinders me from giving this a 5 star. (my phone is part of the many that don't have the virtual background option, and i am very disappointed in that. i get that it may be due to performance issues or something of the like, but i don't suppose you guys can restrict a tiny bit of the virtual background section but also make it available for all android users?)	N	{'neg': 0.103, 'neu': 0.795, 'pos': 0.103, 'compound': -0.2475}	-0.2475	0.103	0.795	0.103	N
The new update of zoom app has some issue if I have call over net automatically but it is not auto connect please fix this issue	N	{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.3491}	-0.3491	0.089	0.911	0.0	N
Overall! This app runs good but the video quality is not at the highest level!....	P	{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.3682}	0.3682	0.0	0.847	0.153	P
I dont have Ã°ÂÂÂ¯Ã°ÂÂÂ¢Ã°ÂÂÂ«Ã°ÂÂÂ­Ã°ÂÂÂ®Ã°ÂÂÅ¡Ã°ÂÂÂ¥ Ã°ÂÂâ€ºÃ°ÂÂÅ¡Ã°ÂÂÅ“Ã°ÂÂÂ¤Ã°ÂÂÂ Ã°ÂÂÂ«Ã°ÂÂÂ¨Ã°ÂÂÂ®Ã°ÂÂÂ§Ã°ÂÂÂ option even after updating,but it is weldone app for online classes,friends meet.and i have sometimes problem it was showing Ã°ÂÂÅ“Ã°ÂÂÂ¨Ã°ÂÂÂ§Ã°ÂÂÂ§Ã°ÂÂÅ¾Ã°ÂÂÅ“Ã°ÂÂÂ­Ã°ÂÂÂ¢Ã°ÂÂÂ§Ã°ÂÂÂ  while in a meet.Ã°Å¸ËœÅ¸	N	{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.08	0.92	0.0	N
It is not working on mobile.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
well i was gonna give this app 5 stars but there is one thing that i don't liked about this app is when i am using zoom app on laptop i am not able to switch on dark mode even when i watched youtubes videos they are just showing that we can switch it on by going to gerenal but according to the new updates it's not possible and most of the peoples are facing this ..while when i download zoom app on my phone i am able to switch on dark mode but not in my laptop...which stress my eyes a lot	N	{'neg': 0.062, 'neu': 0.924, 'pos': 0.014, 'compound': -0.7309}	-0.7309	0.062	0.924	0.014	N
My main issue with any facet of zoom service has always been poor user workflows. For example, the trying to leave a meeting when using the app if you are anywhere other than the main participant view is non-intuitive. Similarly, there does not appear to be a way to switch the audio to a normal headset/phone mode in the app, and dialing in to a meeting in progress is frustrating.	N	{'neg': 0.095, 'neu': 0.868, 'pos': 0.037, 'compound': -0.5267}	-0.5267	0.095	0.868	0.037	N
When i want to record video by the screen recorder app zoom don't allow to record sound.. but why? its unfair	N	{'neg': 0.223, 'neu': 0.731, 'pos': 0.047, 'compound': -0.6523}	-0.6523	0.223	0.731	0.047	N
Excellent application. They should have a free light version for family meets & fraternity gatherings.	P	{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.7906}	0.7906	0.0	0.65	0.35	P
I have been using the app from April with no problem at all. But with the recent update Zoom is showing glitches. It is draining too much internet and even though my video is on in the participants it is not showing. It is also having noise suppression problem. Can please fix it because it is becoming difficult for me to do school classes. The in-built report problem system is not functioning properly because there is no response from you guys.	N	{'neg': 0.142, 'neu': 0.809, 'pos': 0.049, 'compound': -0.8615}	-0.8615	0.142	0.809	0.049	N
I am facing issues regarding the video . Even if my video is on , the symbol in the participant list shows its off . I even uninstalled and reinstalled but there was no avail.	N	{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.4215}	-0.4215	0.076	0.924	0.0	N
Its great! But I can't apply a background without a green one. And i can't apply background in phone. Sometimes when a call comes and when I decline it the voice becomes so low I can barely hear it, but only sometimes. Otherwise, good to goÃ°Å¸ËœÅ Ã°Å¸ËœÅ . The devlopers please look. And now after I have updated this app, in every meeting the host says, why is your video off, even though its on, in the participants list it shows its off, please look into this	P	{'neg': 0.038, 'neu': 0.832, 'pos': 0.131, 'compound': 0.8393}	0.8393	0.038	0.832	0.131	P
I only gaved 3 star because of 2 reasons :- 1) The video quality is bad , our body shape gets disturb and if our face is oval so it becomes round and if it is round then it becomes oval. Sometimes anyone cannot recognise me because if my face shape . 2) I can never delete my profile photo . the option for deleting my profile photo never comes instead I had updated zoom . Instead of these 2 things, all things are perfect .Ã°Å¸ËœÂ	N	{'neg': 0.067, 'neu': 0.893, 'pos': 0.04, 'compound': -0.3612}	-0.3612	0.067	0.893	0.04	N
Whenever I unmute myself, I couldn't hear the other participants' audio when we are speaking simultaneously. What seems to be the problem? Is it my phone or the app's malfunction? I hope this problem would be fixed asap. Zoom is a great app and can be considered essential now for the meetings we have, adapting to the new normal situation during the pandemic.	P	{'neg': 0.081, 'neu': 0.817, 'pos': 0.102, 'compound': 0.3685}	0.3685	0.081	0.817	0.102	P
It does what it says, the UI is still messy though with options here there and everywhere in or out of meetings. One thing I should add; the app description says virtual background has been added. This is true, up to a point - two handsets here, same app version installed on both, and it's available on one but not the other. Whether the difference is the chipset (one handset has SD, the other does not) or something else though who knows, hopefully future updates will tell us.	P	{'neg': 0.019, 'neu': 0.922, 'pos': 0.059, 'compound': 0.5719}	0.5719	0.019	0.922	0.059	P
All of a sudden my video feed shows up REALLY dark - other participants can barely see me! It must be just Zoom. I've tried looking in settings to adjust brightness (or to see if a filter is in affect), but can't find anything for it.	N	{'neg': 0.0, 'neu': 0.956, 'pos': 0.044, 'compound': 0.2714}	0.2714	0.0	0.956	0.044	P
Good app but I takes a lot of network and get disconnected by poor net connection....	N	{'neg': 0.206, 'neu': 0.697, 'pos': 0.097, 'compound': -0.4939}	-0.4939	0.206	0.697	0.097	N
Zoom is, kind of a mixed bag. Sometimes it works, sometimes it doesn't. I wish it was a bit more colourful and interactible though, as it feels extremely bland and empty. Since we have to use zoom a lot these days.	N	{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.5142}	-0.5142	0.1	0.9	0.0	N
Ok ok app... Gets disconnected often but one thing is that it connects itself and not like Google Meet that we will have to enter the code again and blah blah blah....but please look before you leap... So, pretty good app better than Google meet. I have edited this after 6-7 months of experience, in my first review l told that it was a very bad app, but it turned out to be a good app and also, it is FAKE that it's security is not reliable, but after using it for 6-7 months even, it had NO issue.	P	{'neg': 0.152, 'neu': 0.63, 'pos': 0.218, 'compound': 0.8358}	0.8358	0.152	0.63	0.218	P
When I lower my hand in the meeting, the hand lowers but the raise hand sign (Ã°Å¸â€“Â) still remains on my screen. That is a little annoying.	N	{'neg': 0.168, 'neu': 0.592, 'pos': 0.24, 'compound': 0.5483}	0.5483	0.168	0.592	0.24	P
"I have to coach almost all my clients on how to enable audio and video... why do they have to click so many buttons to join audio. They don't know what ""internet audio"" means so it's confusing to even young people and a pain to deal with for every client I have to teach. Zoom nailed everything except this... and It's a video call for goodness sakes! Please change ""internet audio"" to ""click here for sound,"" if it's too much to ask for an auto connect option."	N	{'neg': 0.058, 'neu': 0.861, 'pos': 0.082, 'compound': 0.3212}	0.3212	0.058	0.861	0.082	P
It has a disgusting promblem that the camera closes when you open participant list or chat box Please fix it	N	{'neg': 0.143, 'neu': 0.759, 'pos': 0.097, 'compound': -0.2732}	-0.2732	0.143	0.759	0.097	N
I used this app as an online classes for my school. Bt since yesterday the app is being updated due to which whenever I go to the participants list or to any other web page my video automatically turns off. And due to which whenever we have exams on Google forms automatically the video gets turned off. And it is becoming a serious issue. Hope u will try the best to make some changes. Thank you	P	{'neg': 0.016, 'neu': 0.869, 'pos': 0.116, 'compound': 0.8519}	0.8519	0.016	0.869	0.116	P
Hello guys, I like app but I can give only 3 stars because 1. THERE IS NO OPTION TO REMOVE PROFILE PICTURE 2. IF SOMEONE STARTS THEIR VIDEO IT IS NOT IN FULL SCREEN MODE 3. THERE IS NO HELP AND SUPPORT 4. EVEN IF I SEND IT TO MAIL THEY ARE NOT RESPONDING(# Please type your reply above this line #)(They are saying like this). I guess you will see this. We need new updates with these things	N	{'neg': 0.132, 'neu': 0.765, 'pos': 0.103, 'compound': -0.4174}	-0.4174	0.132	0.765	0.103	N
Okay.. This app is great.. I have used it for at least 1000 meetings.. But... I'm using a dell laptop the latest laptop... And now after the latest update I can't see the virtual background option! Before the update it was available and it worked well.. Now I am really upset because I'm 13 and I love changing my background! Something I like a lot! Please help me out! I love this app I don't want to delete it for a small reason! -Evangeline (sincere user of zoom!)Ã¢ËœÂº	P	{'neg': 0.045, 'neu': 0.67, 'pos': 0.285, 'compound': 0.9827}	0.9827	0.045	0.67	0.285	P
Before it was updated, it used less data but now it uses alot of internet. Whenever you go to the participants list or other apps, the video reflects as off which is annoying. Sometimes the meeting gets disconnected and shows connecting even when the data speed is high. Make updates which use less data and video does not switch off while using other apps.	N	{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.5499}	-0.5499	0.053	0.947	0.0	N
The problem is that if a participant has less data, he faces a lot of troubles.. moreover, it doesn't gets connected.. secondly, when I host a meeting in my PC, I change the settings to allow multiple participants to share the screen at a time.. but it never occurs.. only single participant can share the screen.. in PC, i can never share my screen of the zoom meeting.. whereas I can share it in a mobile..	N	{'neg': 0.074, 'neu': 0.823, 'pos': 0.103, 'compound': 0.3544}	0.3544	0.074	0.823	0.103	P
Its video quality is good	P	{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}	0.4404	0.0	0.58	0.42	P
It is a nice app dont get me wrong the thing is that there are some minor connection glitches and bugs	P	{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.6546}	0.6546	0.0	0.78	0.22	P
Great app but but needs to improve alot ot get in to the giants line that is google meet and ms teams.	P	{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.7506}	0.7506	0.0	0.758	0.242	P
I am not able to see my preview on the cloud meeting. The image appears dark and cannot make out the features. The audio was also muted completely and upon reinstalling and installing the app twice and opening the application, the video preview is still very dark.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
It is very good app for online classes and for VIDEO CALLS IT IS VERY MUCH BETTER THAN WHATSAPP VIDEO CALLS it sometimes make very irritating but it's okay	P	{'neg': 0.062, 'neu': 0.727, 'pos': 0.211, 'compound': 0.6254}	0.6254	0.062	0.727	0.211	P
I usually use this Zoom while having class meetings or gathering with my friends, but there is one problem and that is important, the microphone function in this app is not function, despite myself try to turn on/off microphone on my phone or try headphones/earphones just so I can try to use microphone on the meeting. I hope this is fixed ASAP. Thanks	P	{'neg': 0.048, 'neu': 0.789, 'pos': 0.163, 'compound': 0.8126}	0.8126	0.048	0.789	0.163	P
This app is good but one Problem is it glitches a lot in mobile. But when I use it on my pc or laptop it works just fine. But I would hope a few more features. 1. Please try to solve the bugs in the app 2. And please make it up to 100 not only 100	P	{'neg': 0.051, 'neu': 0.714, 'pos': 0.235, 'compound': 0.8989}	0.8989	0.051	0.714	0.235	P
Sometimes it makes me angryÃ°Å¸ËœÂ Ã°Å¸ËœÂ  because disconection , when my video is on in meeting but it shows my video is off in participant's list........... This problem should be fixed.	N	{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.6355}	-0.6355	0.122	0.878	0.0	N
It is good but recently after the new update I am having a problem that when I am switching to another app while a zoom meeting, my video is turning off, which was not happening earlier, earlier the video froze when you switched to another app. This is causing a problem during my online exams. I hope you will look into the matter and do something.	N	{'neg': 0.095, 'neu': 0.813, 'pos': 0.093, 'compound': -0.2846}	-0.2846	0.095	0.813	0.093	N
It is a bit frustrating that after waiting in the lobby for the host to connect.	N	{'neg': 0.161, 'neu': 0.778, 'pos': 0.061, 'compound': -0.4215}	-0.4215	0.161	0.778	0.061	N
I can't you choose to see more occupants than just 4 in gallery view. Such a silly omission.	N	{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0258}	0.0258	0.0	0.939	0.061	NT
Very best app for online studies but there is a trouble that the outsiders come easily in the meeting and disturb all the students which causes a great disturbance in the minds and concentration of students. There should be a feature of writing a list of students and the app will automatically accept them to enter and those whose name is not in the list they will be put into the waiting room then the host will decide whether to join or reject them . This feature will be very very useful for us .	P	{'neg': 0.116, 'neu': 0.7, 'pos': 0.184, 'compound': 0.8539}	0.8539	0.116	0.7	0.184	P
Why all the benefits to laptop users. They are enable to record meeting also they can see almost everyone in the grid view also they can also use virtual backgrounds and effects. But we cell phone users do not have this feature.	N	{'neg': 0.0, 'neu': 0.958, 'pos': 0.042, 'compound': 0.2023}	0.2023	0.0	0.958	0.042	P
This is a nice app. But here is time issue. After 45 minutes its closes meeting which is so irritating. On the other hand google meet has no time issue. So i suggest everyone if you need unlimited meeting time then u should use google meet. Unfortunately we all need unlimited meeting time. But so far i know google meet doesnÃ¢â‚¬â„¢t support record option. If you need record the meeting and 45 minutes is enough for your meeting then you should use zoom meeting.	N	{'neg': 0.111, 'neu': 0.792, 'pos': 0.097, 'compound': -0.3505}	-0.3505	0.111	0.792	0.097	N
It lacks to connect audio automatically.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
It continually cuts out and drops the Zoom meeting. It was frustrating!!	N	{'neg': 0.362, 'neu': 0.638, 'pos': 0.0, 'compound': -0.6892}	-0.6892	0.362	0.638	0.0	N
At the start of lockdown it was completely fine however when we went into summer it was draining our battery and making our devices hot. It kept on freezing and going echoey. There was once where it wouldn't let me in for a hour even though I had good WiFi. Lately it has been echoey and cutting out but I am not sure whether that is my WiFi or the app. Overall, it is a great app because when my groups can't meet for meetings we go on zoom and it works quite well for what we want to do.	P	{'neg': 0.044, 'neu': 0.832, 'pos': 0.124, 'compound': 0.8687}	0.8687	0.044	0.832	0.124	P
App is good but need changes: 1. Transparent gesture navigation bar; 2. Fix root user dark mode attention card; 3. Make notification bar color adaptive for make app full screen directly without this or navigation; 4. Little smooth animations on switching layout's make experience better; 5. Adaptive icon. Thanks and have a great day! Ã¢Å“Å’Ã¯Â¸Â	P	{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.9485}	0.9485	0.0	0.766	0.234	P
Zoom app is not as good as you want is get diconnect in each meetings.	N	{'neg': 0.144, 'neu': 0.778, 'pos': 0.078, 'compound': -0.2746}	-0.2746	0.144	0.778	0.078	N
Its a great app for my online school but after the last 3 updates, i did zoom on my phone and my audio was just broken. Every persons voice was a robot. This occurred after a zoom update. All my other apps that require audios and microphones are all good. Please fix this issue. I don't get disconnected or anything. Its a great app for my online school	P	{'neg': 0.051, 'neu': 0.767, 'pos': 0.183, 'compound': 0.8968}	0.8968	0.051	0.767	0.183	P
The zoom app is very good. But eventhought i switched on my video but in participant list it shows that i switched off my video. Please make sure that it must not repeat again. It doesnt happen to me alone it happens to many members. So make that and sometimes it automatically disconnects eventhought i have clear network. And it comes out of the meeting while some important information is going on. Make sure not to repeat again but otherwise the app is very good. One of the best app	P	{'neg': 0.023, 'neu': 0.735, 'pos': 0.242, 'compound': 0.9754}	0.9754	0.023	0.735	0.242	P
It's good , but provide mute and video on/off features in the notification panel..	P	{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2382}	0.2382	0.0	0.87	0.13	P
It is nice app but while we do screen mirroring to a TV it doesn't gives us sound Ã°Å¸Ëœâ€¢Ã°Å¸Ëœâ€¢	P	{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2263}	0.2263	0.0	0.905	0.095	P
This app is nice, wonderful. I use this app for school lecture. Bt one day what happened I don't know I'm did on my camera and in video box I could see my face but in participants box my video was off.beacuse of that teacher punished me bt there is no my mistake. Zoom plzz do something....!!!!!!!!!	N	{'neg': 0.102, 'neu': 0.779, 'pos': 0.119, 'compound': -0.4878}	-0.4878	0.102	0.779	0.119	N
App is good but is missing some of the functionality that you get if you use zoom on an iPad or iPhone	N	{'neg': 0.113, 'neu': 0.808, 'pos': 0.079, 'compound': -0.2144}	-0.2144	0.113	0.808	0.079	N
Great sound great picture but some options that were lost with updates would nice to be an option again, but stay as a choice not automatic, like not allowing more that one person to open as host, no host keys and if you accidentally or on purpose you boot someone it should be reversible right away not 24hrs later. These things should still be options as meetings are different, and large, people are needed so things can functions at peak efficiency and some still need them for daily running.	P	{'neg': 0.11, 'neu': 0.775, 'pos': 0.115, 'compound': 0.1368}	0.1368	0.11	0.775	0.115	P
The new update is really not helping . The working of the video mode has a bug for sure ,whenever I turn on my video ,in the participant list it shows off and because of that I have also been scolded during my exam even though my video was on all the time . Please fix this bug Am uninstalling it and installing it again cause I have no other option since I have to give my exam on this.	N	{'neg': 0.051, 'neu': 0.894, 'pos': 0.054, 'compound': 0.0602}	0.0602	0.051	0.894	0.054	P
It was good until update in early Aug 2020 (using Android 5.1 on a PEGI3 tablet). Then video often freezes (even my own image) when showing more than one mugshot. I'm using it mainly for socially distanced music and have kept with it because the audio is acceptable but not wonderful. Please make available: turn off automatic mic. volume & disable ALL audio processing (not just allow 'original sound'); more than 4 mugshots at a time (bigger tablets would easily show 9).	N	{'neg': 0.129, 'neu': 0.799, 'pos': 0.072, 'compound': -0.6407}	-0.6407	0.129	0.799	0.072	N
The front camera provides very dark video during the video calls. The back camera works pretty well but it is of no use during video calls. This issue is not related to lighting or camera quality of the phone as the photos and videos are very bright while using the camera outside of the application. I believe there is some issue while using the front camera of this device in the App.	N	{'neg': 0.036, 'neu': 0.864, 'pos': 0.101, 'compound': 0.6297}	0.6297	0.036	0.864	0.101	P
Still has lots of bugs. I want to bring here is as soon as you connect your mobile with a bluetooth headset/speaker the meeting starts freezing. Only thing we can do is disconnect the device.	N	{'neg': 0.039, 'neu': 0.924, 'pos': 0.036, 'compound': -0.0258}	-0.0258	0.039	0.924	0.036	NT
Like the abilities the app offers and its honestly saved my life as I use it to communicate with my 10yr old who has been quarantined without family due to COVID-19. Unfortunately the app resets often and freezes more now that schools back on-presumably because of the access amount of users but other than that I think the addition of the break out rooms and private messaging available is pretty cool as well	P	{'neg': 0.033, 'neu': 0.764, 'pos': 0.203, 'compound': 0.9231}	0.9231	0.033	0.764	0.203	P
Pls make more sticker and function I like some sticker so pls add some more sticker my experiences is good but some time meeting is say that my video is off but is it not off the video of mine is still open there are many glitches in the app	P	{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4974}	0.4974	0.0	0.881	0.119	P
This was a very good app but it started working very bad. I'm always facing a problem with this during my online classes i.e. whenever I turn on my video and go to participants list and check it is showing that I turned off my video and they are unable to see my video. I hope zoom will find a solution for this with next update or mail me what to do.	N	{'neg': 0.103, 'neu': 0.792, 'pos': 0.105, 'compound': -0.2127}	-0.2127	0.103	0.792	0.105	N
